subject,action,feature,group,means_shift,std_shift
subject_4,5,WL,4,0.0876296723755,279.646809407
subject_4,6,MAV,1,-0.271820334406,8.99889810544
subject_4,6,ZC,1,0.0430826399034,0.322678541142
subject_4,6,SSC,1,-0.0312426437894,0.446813019338
subject_4,6,WL,1,-0.245565685269,1885.7577608
subject_4,6,MAV,2,0.350292013173,8.19862568085
subject_4,6,ZC,2,-0.00682259729221,0.259977720681
subject_4,6,SSC,2,0.0108373126501,0.433557226133
subject_4,6,WL,2,0.327744562383,1725.1897947
subject_4,6,MAV,3,-0.0697016972152,4.81254517178
subject_4,6,ZC,3,-0.0584,0.50661277053
subject_4,6,SSC,3,0.0349544072948,0.402648006848
subject_4,6,WL,3,-0.118495530918,896.205320373
subject_4,6,MAV,4,-0.0697016972152,4.81254517178
subject_4,6,ZC,4,-0.0584,0.50661277053
subject_4,6,SSC,4,0.0349544072948,0.402648006848
subject_4,6,WL,4,-0.118495530918,896.205320373
subject_4,7,MAV,1,-0.22158069582,6.95390940275
subject_4,7,ZC,1,0.0635964912281,0.478899496975
subject_4,7,SSC,1,-0.0290504182393,0.515276820521
subject_4,7,WL,1,-0.181102107625,1357.9657545
subject_4,7,MAV,2,0.292976664089,5.62335185842
subject_4,7,ZC,2,0.0015236909365,0.221268488513
subject_4,7,SSC,2,0.00710312482958,0.435529640902
subject_4,7,WL,2,0.272461777039,1104.76872845
subject_4,7,MAV,3,-0.114181204512,5.41921991786
subject_4,7,ZC,3,-0.0470847878625,0.377512479049
subject_4,7,SSC,3,0.0280122368043,0.506193967474
subject_4,7,WL,3,-0.159072519323,884.733370524
subject_4,7,MAV,4,-0.114181204512,5.41921991786
subject_4,7,ZC,4,-0.0470847878625,0.377512479049
subject_4,7,SSC,4,0.0280122368043,0.506193967474
subject_4,7,WL,4,-0.159072519323,884.733370524
subject_5,1,MAV,1,0.063158953338,2.15095874171
subject_5,1,ZC,1,0.0510103555718,0.438763687445
subject_5,1,SSC,1,0.000808427241548,0.562280835279
subject_5,1,WL,1,0.12278920317,259.347860983
subject_5,1,MAV,2,0.384279221374,3.18498835935
subject_5,1,ZC,2,-0.0332344601149,1.76446899677
subject_5,1,SSC,2,0.0476006888221,1.81443180104
subject_5,1,WL,2,0.330172313141,440.306484271
subject_5,1,MAV,3,0.0553317438978,1.62415294298
subject_5,1,ZC,3,0.0301669692903,1.06130788536
subject_5,1,SSC,3,-0.0223869022508,1.48969468779
subject_5,1,WL,3,0.103776029065,522.254566025
subject_5,1,MAV,4,0.0553317438978,1.62415294298
subject_5,1,ZC,4,0.0301669692903,1.06130788536
subject_5,1,SSC,4,-0.0223869022508,1.48969468779
subject_5,1,WL,4,0.103776029065,522.254566025
subject_5,2,MAV,1,-0.119724828454,2.89155015949
subject_5,2,ZC,1,0.113782221279,0.346462925921
subject_5,2,SSC,1,-0.0433242537997,0.616228795204
subject_5,2,WL,1,-0.0369485693182,360.79695846
subject_5,2,MAV,2,0.0506717105305,2.41244570615
subject_5,2,ZC,2,0.056488532318,1.07992697369
subject_5,2,SSC,2,-0.000950467086683,0.782656930009
subject_5,2,WL,2,0.090787909073,247.852755911
subject_5,2,MAV,3,0.00435012489742,2.42044970296
subject_5,2,ZC,3,0.0317217595003,0.774655286599
subject_5,2,SSC,3,-0.00271157769043,0.50410328842
subject_5,2,WL,3,0.0364169761039,297.166032636
subject_5,2,MAV,4,0.00435012489742,2.42044970296
subject_5,2,ZC,4,0.0317217595003,0.774655286599
subject_5,2,SSC,4,-0.00271157769043,0.50410328842
subject_5,2,WL,4,0.0364169761039,297.166032636
subject_5,3,MAV,1,0.386721443959,0.678885922684
subject_5,3,ZC,1,-0.0659546617481,0.900578980338
subject_5,3,SSC,1,0.0657691205958,0.664498434115
subject_5,3,WL,1,0.28126505494,124.052389939
subject_5,3,MAV,2,0.525723283466,0.563382768755
subject_5,3,ZC,2,-0.0545036711568,1.84023423638
subject_5,3,SSC,2,0.0481051000282,1.13125457801
subject_5,3,WL,2,0.363197948063,100.938656033
subject_5,3,MAV,3,-0.0138194288195,1.08034655762
subject_5,3,ZC,3,0.0274808114035,0.357692771747
subject_5,3,SSC,3,-0.019332765846,0.337406302091
subject_5,3,WL,3,0.02171083749,319.078250706
subject_5,3,MAV,4,-0.0138194288195,1.08034655762
subject_5,3,ZC,4,0.0274808114035,0.357692771747
subject_5,3,SSC,4,-0.019332765846,0.337406302091
subject_5,3,WL,4,0.02171083749,319.078250706
subject_5,4,MAV,1,0.0994594370961,0.277625941857
subject_5,4,ZC,1,-0.0240011766594,0.406188296617
subject_5,4,SSC,1,0.0230782771077,0.33629838262
subject_5,4,WL,1,0.0730359645791,106.113631536
subject_5,4,MAV,2,0.227304353599,0.342478647263
